city,country,lon,lat
New York,us,-73.98999786,40.75
London,gb,-0.100000001,51.52000046
Chicago,us,-87.62000275,41.88000107
San Diego,us,-117.1699982,32.72000122
Washington,us,-77.01999664,38.90999985
Los Angeles,us,-118.2399979,33.97000122
Houston,us,-95.22000122,29.71999931
Atlanta,us,-84.40000153,33.86000061
San Francisco,us,-122.4199982,37.77999878
Seattle,us,-122.3300018,47.61000061
Austin,us,-97.75,30.21999931
Toronto,ca,-79.36000061,43.74000168
Philadelphia,us,-75.01000214,40.11999893
Denver,us,-105.0800018,39.70000076
Dallas,us,-96.80000305,32.79000092
Portland,us,-122.6900024,45.5
Boston,us,-71.06999969,42.36000061
Raleigh,us,-78.63999939,35.77000046
Brooklyn,us,-73.98999786,40.70000076
Vancouver,ca,-123.0400009,49.27999878
Orlando,us,-81.37000275,28.54000092
Phoenix,us,-112.0699997,33.45000076
Las Vegas,us,-115.1200027,36.16999817
Minneapolis,us,-93.26999664,44.97999954
Charlotte,us,-80.83000183,35.18999863
Sacramento,us,-121.4899979,38.58000183
San Antonio,us,-98.52999878,29.46999931
Tampa,us,-82.33999634,27.97999954
Singapore,sg,103.8499985,1.299999952
Fort Lauderdale,us,-80.12999725,26.12000084
San Jose,us,-121.9000015,37.38999939
Saint Louis,us,-90.19000244,38.63000107
Mumbai,in,72.81999969,18.95999908
Calgary,ca,-114.0599976,51.04000092
Sydney,au,151.2100067,-33.86999893
Miami,us,-80.19999695,25.78000069
Pittsburgh,us,-79.94999695,40.47000122
Baltimore,us,-76.62000275,39.29000092
Jacksonville,us,-81.76999664,30.32999992
Melbourne,au,144.9600067,-37.81000137
Richmond,us,-77.44000244,37.54000092
Tucson,us,-110.9700012,32.22000122
Columbus,us,-83.01999664,40.09999847
Nashville,us,-86.77999878,36.16999817
Montreal,ca,-73.5,45.65000153
Cincinnati,us,-84.5,39.11000061
Delhi,in,77.20999908,28.67000008
Paris,fr,2.339999914,48.86000061
Indianapolis,us,-86.11000061,39.77000046
Kansas City,us,-94.59999847,39.09999847
Brisbane,au,153.0200043,-27.45999908
Bangalore,in,77.55999756,12.97000027
Arlington,us,-77.09999847,38.88999939
Chennai,in,80.26999664,13.09000015
Santa Monica,us,-118.5,34.02000046
Fort Worth,us,-97.33000183,32.75999832
Saint Paul,us,-93.08000183,44.97000122
